"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"",""Absolute acceleration (m/s^2)"""
1.843638540E-1,0.000000000E0,0.000000000E0,-0.000000000E0,0.000000000E0
1.917796260E-1,-7.329154015E-2,-2.529320121E-2,-2.872657776E-2,8.268380829E-2
1.957469110E-1,1.792782173E-2,-5.043496937E-2,-5.586147308E-2,7.736664076E-2
1.997141960E-1,-3.371140361E-2,-6.120184809E-2,2.275466919E-2,7.348401127E-2
2.037119990E-1,-6.187617406E-2,4.671662301E-2,8.624076843E-3,7.800947688E-2
2.076792840E-1,2.249564230E-2,2.495800704E-2,-1.076889038E-2,3.528349526E-2
2.116465690E-1,-2.377567813E-2,-1.554029435E-2,2.361106873E-2,3.693597413E-2
2.156138540E-1,-5.015845969E-2,3.039745986E-2,3.890037537E-3,5.877932491E-2
2.196116570E-1,-6.799354404E-2,-3.674609214E-2,9.845733643E-3,7.791235967E-2
2.235789420E-1,-7.650905848E-2,5.712024868E-3,1.532936096E-2,7.823843406E-2
2.275462270E-1,-3.051511198E-2,-5.794227123E-3,-7.827758789E-3,3.203153032E-2
2.315440300E-1,-1.030081883E-2,3.187914193E-2,-5.545806885E-2,6.479185102E-2
2.355113150E-1,-5.328278244E-2,7.583883405E-2,-6.888294220E-2,1.154791902E-1
2.394786000E-1,-4.881768301E-2,5.916327238E-3,-1.726245880E-2,5.211680714E-2
2.434458850E-1,-7.144527137E-2,1.217815280E-2,-9.417533875E-3,7.308504739E-2
2.474436880E-1,-5.686820298E-2,-2.042464912E-3,-3.351879120E-2,6.604296735E-2
2.514109730E-1,-1.177279130E-1,1.388724893E-2,-6.757736206E-3,1.187366168E-1
2.553782590E-1,-6.941311806E-2,-9.336777031E-3,1.849174500E-2,7.243825645E-2
2.593455440E-1,-4.666862264E-2,-1.995474100E-3,5.608940125E-2,7.299289820E-2
2.633128290E-1,4.527786374E-2,1.629850268E-2,-1.268291473E-2,4.976527364E-2
2.673106320E-1,-3.880295902E-3,-3.924416006E-2,-3.259563446E-2,5.116283984E-2
2.712779170E-1,2.917278558E-2,-1.455137134E-2,-2.196407318E-2,3.930921440E-2
2.752452020E-1,2.424000204E-2,-5.740040541E-2,4.081916809E-2,7.448884966E-2
2.792124870E-1,2.426940948E-2,-2.505681664E-2,4.371166229E-2,5.592457167E-2
2.832102900E-1,6.143817306E-2,-4.235582799E-2,6.035041809E-2,9.597311205E-2
2.871775750E-1,3.511545807E-2,-4.997903109E-2,-4.116058350E-3,6.122042862E-2
2.911448600E-1,-4.100864381E-2,-5.051340163E-2,-2.932071686E-2,7.136537709E-2
2.951426630E-1,1.022149548E-1,-5.332794785E-2,-9.804725647E-3,1.157060917E-1
2.991099480E-1,6.242316961E-2,-5.144710094E-2,-1.409053802E-2,8.210968007E-2
3.030772330E-1,5.875362828E-2,-2.884833515E-2,6.507301331E-2,9.229687068E-2
3.070445180E-1,9.211931378E-3,-6.499502808E-2,2.359390259E-2,6.975590007E-2
3.110423210E-1,5.210782588E-2,-6.064146012E-2,4.141139984E-2,9.004174721E-2
3.150096060E-1,-2.907568589E-2,-5.872134864E-2,1.462173462E-2,6.713707932E-2
3.189768910E-1,-1.017839462E-2,-2.673965693E-2,2.586364746E-3,2.872800466E-2
3.229441760E-1,-5.955683812E-2,-6.787416339E-2,7.157325745E-3,9.058226281E-2
