"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.341337200E-2,4.272460938E-3,4.318237305E-3,1.094055176E-2,1.251386306E-2
6.921171100E-2,-2.120971680E-3,4.318237305E-3,1.094055176E-2,1.195162613E-2
7.327054900E-2,-5.310058594E-3,4.318237305E-3,9.887695312E-3,1.202540703E-2
7.717679900E-2,-2.120971680E-3,4.318237305E-3,1.307678223E-2,1.393369756E-2
8.117460200E-2,-3.173828125E-3,4.318237305E-3,1.200866699E-2,1.315022590E-2
8.511137000E-2,-3.173828125E-3,5.386352539E-3,1.521301270E-2,1.644754492E-2
8.907865500E-2,-4.241943359E-3,4.318237305E-3,1.626586914E-2,1.735568367E-2
9.304594000E-2,-4.241943359E-3,7.522583008E-3,1.521301270E-2,1.749340144E-2
9.704374300E-2,-6.378173828E-3,1.071166992E-2,1.733398438E-2,2.135153363E-2
1.009805100E-1,-6.378173828E-3,9.643554688E-3,1.840209961E-2,2.173284423E-2
1.049477950E-1,-4.241943359E-3,9.643554688E-3,1.947021484E-2,2.213778436E-2
1.089455980E-1,-4.241943359E-3,9.643554688E-3,1.947021484E-2,2.213778436E-2
1.129128830E-1,-3.173828125E-3,1.071166992E-2,2.159118652E-2,2.431033511E-2
1.168801680E-1,-7.446289062E-3,1.071166992E-2,2.372741699E-2,2.707724895E-2
1.208474540E-1,-5.310058594E-3,1.177978516E-2,2.586364746E-2,2.891173327E-2
1.248147390E-1,-8.514404297E-3,1.924133301E-2,2.798461914E-2,3.501232476E-2
1.287820240E-1,-5.310058594E-3,2.349853516E-2,3.012084961E-2,3.856998131E-2
1.327493090E-1,-9.567260742E-3,2.029418945E-2,3.225708008E-2,3.929256697E-2
1.367471120E-1,-8.514404297E-3,1.817321777E-2,3.437805176E-2,3.980717734E-2
1.407143970E-1,-1.063537598E-2,1.924133301E-2,3.758239746E-2,4.354051811E-2
1.446816820E-1,-1.063537598E-2,1.603698730E-2,3.863525391E-2,4.316224077E-2
1.486489670E-1,-1.063537598E-2,2.563476562E-2,4.077148438E-2,4.932105401E-2
1.526077540E-1,-1.063537598E-2,3.201293945E-2,3.863525391E-2,5.128959309E-2
1.565750400E-1,-7.446289062E-3,2.243041992E-2,4.290771484E-2,4.898615061E-2
1.605423250E-1,-9.567260742E-3,4.318237305E-3,4.183959961E-2,4.313619996E-2
1.645401280E-1,-1.383972168E-2,8.575439453E-3,3.863525391E-2,4.192563538E-2
1.685074130E-1,-1.596069336E-2,3.201293945E-2,3.758239746E-2,5.188457019E-2
1.724746980E-1,-1.063537598E-2,4.586791992E-2,4.183959961E-2,6.298832746E-2
1.764419830E-1,-1.277160645E-2,1.817321777E-2,3.544616699E-2,4.183073666E-2
1.804092680E-1,-1.170349121E-2,-9.521484375E-3,3.330993652E-2,3.656750255E-2
1.843765530E-1,-1.170349121E-2,9.643554688E-3,3.544616699E-2,3.855386632E-2
1.883438380E-1,-1.063537598E-2,3.521728516E-2,3.330993652E-2,4.962781747E-2
1.923416410E-1,1.525878906E-5,3.096008301E-2,3.437805176E-2,4.626421312E-2
1.963089260E-1,3.204345703E-3,1.284790039E-2,3.437805176E-2,3.684001654E-2
2.002762120E-1,-1.052856445E-3,3.250122070E-3,3.437805176E-2,3.454739126E-2
2.042434970E-1,-8.514404297E-3,6.103515625E-5,2.798461914E-2,2.925128569E-2
2.082107820E-1,-2.120971680E-3,4.318237305E-3,2.586364746E-2,2.630729850E-2
2.122696200E-1,8.529663086E-3,7.522583008E-3,2.372741699E-2,2.631225427E-2
2.161758700E-1,1.280212402E-2,8.575439453E-3,1.947021484E-2,2.482985718E-2
2.201736720E-1,9.597778320E-3,1.177978516E-2,1.947021484E-2,2.469756978E-2
2.241104400E-1,5.340576172E-3,6.454467773E-3,2.159118652E-2,2.315947416E-2
2.280777250E-1,6.408691406E-3,-8.468627930E-3,2.372741699E-2,2.599575545E-2
2.320450100E-1,9.597778320E-3,-1.272583008E-2,2.159118652E-2,2.683735150E-2
2.360428130E-1,9.597778320E-3,6.454467773E-3,2.053833008E-2,2.357117955E-2
2.399795810E-1,8.529663086E-3,8.575439453E-3,1.840209961E-2,2.202113948E-2
2.439468660E-1,6.408691406E-3,-1.058959961E-2,1.840209961E-2,2.217765126E-2
2.479141510E-1,4.272460938E-3,-1.911926270E-2,1.840209961E-2,2.687819560E-2
2.519119540E-1,-1.052856445E-3,-1.591491699E-2,2.053833008E-2,2.600415528E-2
2.558792390E-1,1.083374023E-3,-1.165771484E-2,2.053833008E-2,2.364104518E-2
2.598465240E-1,6.408691406E-3,-1.272583008E-2,2.053833008E-2,2.499682138E-2
2.638138090E-1,7.476806641E-3,-9.521484375E-3,2.053833008E-2,2.384081174E-2
2.677810940E-1,1.083374023E-3,-4.196166992E-3,1.840209961E-2,1.890552265E-2
2.717483790E-1,-4.241943359E-3,6.103515625E-5,1.840209961E-2,1.888478432E-2
2.757156650E-1,-2.120971680E-3,-5.264282227E-3,1.840209961E-2,1.925742605E-2
2.797134670E-1,2.151489258E-3,-8.468627930E-3,1.840209961E-2,2.037115203E-2
2.836807530E-1,6.408691406E-3,-4.196166992E-3,1.947021484E-2,2.092291588E-2
2.876480380E-1,1.083374023E-3,1.129150391E-3,2.159118652E-2,2.164781780E-2
2.916153230E-1,-6.378173828E-3,3.250122070E-3,2.479553223E-2,2.580819275E-2
2.955826080E-1,-8.514404297E-3,4.318237305E-3,2.372741699E-2,2.557601554E-2
2.995498930E-1,-3.173828125E-3,1.129150391E-3,2.586364746E-2,2.608210930E-2
3.035171780E-1,1.525878906E-5,-7.400512695E-3,2.479553223E-2,2.587636449E-2
3.075149810E-1,-5.310058594E-3,-9.521484375E-3,2.479553223E-2,2.708641367E-2
3.114822660E-1,-7.446289062E-3,6.103515625E-5,2.586364746E-2,2.691429371E-2
3.154495510E-1,-9.567260742E-3,8.575439453E-3,2.479553223E-2,2.792649384E-2
3.194168370E-1,-7.446289062E-3,8.575439453E-3,2.479553223E-2,2.727276665E-2
3.233841220E-1,-7.446289062E-3,2.197265625E-3,2.372741699E-2,2.496528618E-2
3.273514070E-1,-6.378173828E-3,1.129150391E-3,2.372741699E-2,2.459565814E-2
3.313492100E-1,-5.310058594E-3,-1.007080078E-3,2.053833008E-2,2.123755953E-2
3.353164950E-1,-5.310058594E-3,-2.075195312E-3,2.372741699E-2,2.440273499E-2
3.392837800E-1,-4.241943359E-3,1.129150391E-3,2.265930176E-2,2.308057669E-2
3.432510650E-1,-5.310058594E-3,-2.075195312E-3,2.265930176E-2,2.336551121E-2
3.472183500E-1,-2.120971680E-3,-4.196166992E-3,2.159118652E-2,2.209718701E-2
3.511856350E-1,1.083374023E-3,-8.468627930E-3,2.265930176E-2,2.421436174E-2
3.551529200E-1,1.083374023E-3,-4.196166992E-3,1.947021484E-2,1.994669854E-2
